exp_name,overall_accuracy_val,joli_accuracy_val,overall_accuracy_train,joli_accuracy_train
hog_svm,0.5180921052631579,0.3803418803418803,0.724624060150376,0.5659340659340659
violla_default_baseline,0.5216557017543859,0.32905982905982906,0.6793937969924813,0.49633699633699635
violla_mn1_sfdef_baseline,0.5345394736842105,0.3162393162393162,0.7104088345864662,0.5128205128205128
