exp_name,overall_accuracy_val,joli_accuracy_val,overall_accuracy_train,joli_accuracy_train
hog_baseline,0.7705592105263158,0.782051282051282,0.912359022556391,0.86996336996337
violla_default_baseline,0.7036732456140351,0.6282051282051282,0.8179041353383458,0.7234432234432234
violla_mn1_sfdef_baseline,0.7505482456140351,0.7051282051282052,0.9104793233082706,0.8443223443223443
